Region;Profession ID;Professio;2016;2017;2018;2019;Growth;Growth 
Waikato;711;Machine Operators;1844;1902;1957;2;156;2.8
Waikato;712;Stationary Plant Operators;930;889;841;803;-127;-4.8
Waikato;721;Mobile Plant Operators;2115;2153;2188;2207;92;1.4
Waikato;731;Automobile, Bus and Rail Drivers;825;850;879;906;81;3.2
Waikato;732;Delivery Drivers;396;411;425;438;42;3.4
Waikato;733;Truck Drivers;293;2952;2976;2982;52;0.6
Waikato;741;Storepersons;1185;1213;1245;1272;87;2.4
Waikato;811;Cleaners and Laundry Workers;3703;3644;3595;3562;-141;-1.3
Waikato;821;Construction and Mining Labourers;1925;2022;2108;2181;256;4.2
Waikato;831;Food Process Workers;2549;258;2622;2659;111;1.4
Waikato;832;Packers and Product Assemblers;1077;1092;1109;1121;44;1.3
Waikato;839;Miscellaneous Factory Process Workers;726;746;764;779;53;2.4
Waikato;841;Farm, Forestry and Garden Workers;6323;6375;645;6479;156;0.8
Waikato;851;Food Preparation Assistants;1546;1582;1629;1676;130;2.7
Waikato;891;Freight Handlers and Shelf Fillers;473;484;497;509;36;2.5
Waikato;899;Miscellaneous Labourers;4868;5022;5178;5311;443;2.9
Bay of Plenty;111;Chief Executives, General Managers and Legislators;5984;6125;6279;641;426;2.3
Bay of Plenty;121;Farmers and Farm Managers;6815;6695;6593;6433;-382;-1.9
Bay of Plenty;131;Advertising, Public Relations and Sales Managers;1965;2045;2133;2214;250;4.1
Bay of Plenty;132;Business Administration Managers;4004;4152;4309;4454;450;3.6
Bay of Plenty;133;Construction, Distribution and Production Managers;3834;3912;3966;3994;159;1.4
Bay of Plenty;134;Education, Health and Welfare Services Managers;1129;1177;1226;1272;143;4.1
Bay of Plenty;135;ICT Managers;285;296;308;319;34;3.8
Bay of Plenty;139;Miscellaneous Specialist Managers;674;700;727;751;76;3.6
Bay of Plenty;141;Accommodation and Hospitality Managers;233;237;2427;2475;145;2.0
Bay of Plenty;142;Retail Managers;2815;2842;2891;293;114;1.3
Bay of Plenty;149;Miscellaneous Hospitality, Retail and Service Managers;1309;135;1394;1434;125;3.1
Bay of Plenty;211;Arts Professionals;662;688;704;718;55;2.7
Bay of Plenty;212;Media Professionals;371;379;389;398;27;2.4
Bay of Plenty;221;Accountants, Auditors and Company Secretaries;1746;1796;1851;1902;156;2.9
