region;industry_name;year_2016;year_2017;year_2018;year_2019;growth;growth_percentage
Wellington;Retail trade (including motor vehicle repairs);22512;22702;23098;23461;949;1.4
Wellington;Accommodation, cafes and restaurants;18181;18875;19733;20532;2351;4.1
Wellington;Transport and storage;9316;9483;9708;9893;578;2.0
Wellington;Communication services;8358;856;8853;9151;793;3.1
Wellington;Finance and insurance;11472;11692;11968;12235;762;2.2
Wellington;Property services;4446;4452;4496;4541;96;0.7
Wellington;Business services;44389;44679;45061;45381;992;0.7
Wellington;Government admin. and defence;30313;308;31111;31317;1003;1.1
Wellington;Education;23153;23551;23893;24051;898;1.3
Wellington;Health and community services;22601;23151;23926;25003;2403;3.4
Wellington;Cultural and recreational services;7903;8007;8186;8317;414;1.7
Wellington;Personal and other community services;9689;9814;10028;1018;491;1.7
Nelson;Agriculture;1285;1269;1256;1231;-54;-1.4
Nelson;Fishing;650;702;766;840;190;8.9
Nelson;Forestry and logging;123;113;105;96;-28;-8.1
Nelson;Mining and quarrying;59;63;67;71;12;6.3
Nelson;Food, beverage and tobacco manufacturing;1043;949;856;758;-285;-10.1
Nelson;Textiles and apparel manufacturing;175;184;194;202;27;4.9
Nelson;Wood and paper products manufacturing;620;622;623;622;2;0.1
Nelson;Printing, publishing and recorded media;85;88;90;92;7;2.6
Nelson;Chemicals manufacturing;191;202;213;223;32;5.2
Nelson;Non-metallic mineral products manufacturing;101;105;109;115;14;4.4
Nelson;Metal product manufacturing;265;263;260;254;-11;-1.4
Nelson;Machinery and equipment manufacturing;470;476;479;480;10;0.7
Nelson;Furniture and other manufacturing;75;72;69;66;-9;-4.2
Nelson;Electricity, gas and water supply;127;133;138;142;15;3.8
Nelson;Construction;2565;267;2732;2768;204;2.6
Nelson;Wholesale trade;107;1047;1025;999;-71;-2.3
Nelson;Retail trade (including motor vehicle repairs);3277;3266;3282;3292;14;0.1
Nelson;Accommodation, cafes and restaurants;1775;1731;1696;1648;-127;-2.4
Nelson;Transport and storage;1418;1447;1484;1516;98;2.3
Nelson;Communication services;277;264;253;242;-36;-4.5
Nelson;Finance and insurance;545;542;541;539;-6;-0.3
Nelson;Property services;729;735;747;760;31;1.4
Nelson;Business services;3552;3624;3692;3756;204;1.9
Nelson;Government admin. and defence;159;1601;1604;16;11;0.2
Nelson;Education;2249;2274;2293;2293;44;0.6
Nelson;Health and community services;2997;298;2986;3023;26;0.3
Nelson;Cultural and recreational services;738;747;764;777;39;1.7
Nelson;Personal and other community services;1316;1415;1529;1638;322;7.6
Tasman;Agriculture;3872;3915;397;3988;116;1.0
Tasman;Fishing;176;188;202;218;41;7.2
Tasman;Forestry and logging;179;164;152;139;-40;-8.1
Tasman;Mining and quarrying;85;84;83;81;-4;-1.6
Tasman;Food, beverage and tobacco manufacturing;1205;1256;1313;137;165;4.4
Tasman;Textiles and apparel manufacturing;38;40;41;42;4;3.2
Tasman;Wood and paper products manufacturing;413;421;429;436;23;1.9
Tasman;Printing, publishing and recorded media;24;25;27;29;5;6.3
Tasman;Chemicals manufacturing;85;91;96;101;16;5.8
Tasman;Non-metallic mineral products manufacturing;115;121;127;134;19;5.4
Tasman;Metal product manufacturing;148;151;154;155;7;1.5
Tasman;Machinery and equipment manufacturing;225;231;237;241;16;2.3
Tasman;Furniture and other manufacturing;66;70;73;76;9;4.5
Tasman;Electricity, gas and water supply;83;84;84;84;1;0.3
Tasman;Construction;1729;1872;1995;2106;377;6.8
Tasman;Wholesale trade;498;505;512;517;19;1.2
Tasman;Retail trade (including motor vehicle repairs);1821;1902;2004;2105;284;5.0
Tasman;Accommodation, cafes and restaurants;1311;1351;1402;1448;138;3.4
Tasman;Transport and storage;649;665;685;703;54;2.7
Tasman;Communication services;119;119;120;122;3;0.8
Tasman;Finance and insurance;264;279;295;312;48;5.8
Tasman;Property services;452;464;480;498;46;3.3
Tasman;Business services;1693;177;1852;1929;237;4.5
Tasman;Government admin. and defence;865;893;917;937;72;2.7
Tasman;Education;1275;1307;1336;1355;80;2.0
Tasman;Health and community services;1174;1194;1226;1271;97;2.7
Tasman;Cultural and recreational services;523;528;538;545;21;1.3
Tasman;Personal and other community services;589;594;604;610;21;1.2
Marlborough;Agriculture;5316;531;5318;5275;-42;-0.3
Marlborough;Fishing;436;470;510;558;122;8.6
Marlborough;Forestry and logging;223;233;248;264;40;5.7
Marlborough;Mining and quarrying;96;101;106;107;11;3.5
Marlborough;Food, beverage and tobacco manufacturing;3334;3476;3633;379;455;4.4
Marlborough;Textiles and apparel manufacturing;74;78;82;85;10;4.4
Marlborough;Wood and paper products manufacturing;153;153;152;150;-3;-0.7
Marlborough;Printing, publishing and recorded media;38;40;41;42;4;3.4
Marlborough;Chemicals manufacturing;197;211;220;226;29;4.7
Marlborough;Non-metallic mineral products manufacturing;50;50;50;51;1;0.9
Marlborough;Metal product manufacturing;267;270;272;270;3;0.3
Marlborough;Machinery and equipment manufacturing;553;557;558;557;4;0.2
Marlborough;Furniture and other manufacturing;146;153;160;167;21;4.6
Marlborough;Electricity, gas and water supply;197;199;200;199;2;0.3
Marlborough;Construction;2355;2499;261;2699;344;4.6
Marlborough;Wholesale trade;912;945;980;1012;99;3.5
Marlborough;Retail trade (including motor vehicle repairs);2923;3041;3191;334;417;4.5
Marlborough;Accommodation, cafes and restaurants;2308;242;2544;266;352;4.8
Marlborough;Transport and storage;1292;1349;1411;1468;175;4.3
Marlborough;Communication services;235;239;245;251;16;2.3
Marlborough;Finance and insurance;411;428;448;468;57;4.4
Marlborough;Property services;781;806;839;873;91;3.8
Marlborough;Business services;2481;258;2686;2792;311;4.0
Marlborough;Government admin. and defence;1644;1715;1776;1832;188;3.7
Marlborough;Education;1648;1722;1794;1852;204;4.0
Marlborough;Health and community services;232;2433;2573;2751;431;5.9
Marlborough;Cultural and recreational services;551;570;596;619;68;4.0
Marlborough;Personal and other community services;978;1023;1078;1128;150;4.9
West Coast;Agriculture;1953;1994;204;2069;115;1.9
West Coast;Fishing;123;131;140;151;28;7.0
West Coast;Forestry and logging;99;89;79;70;-30;-11.1
West Coast;Mining and quarrying;1251;1322;1404;145;200;5.1
West Coast;Food, beverage and tobacco manufacturing;873;899;929;958;85;3.2
West Coast;Textiles and apparel manufacturing;31;33;36;38;7;7.2
West Coast;Wood and paper products manufacturing;316;319;322;324;8;0.8
West Coast;Printing, publishing and recorded media;27;29;32;34;7;7.6
West Coast;Chemicals manufacturing;35;34;33;32;-3;-2.6
West Coast;Non-metallic mineral products manufacturing;125;127;129;131;6;1.7
West Coast;Metal product manufacturing;57;57;57;56;-1;-0.6
West Coast;Machinery and equipment manufacturing;223;228;232;235;13;1.8
West Coast;Furniture and other manufacturing;115;120;124;128;14;3.8
